name,pfs,source,rarity,trait,item_category,item_subcategory,level,price,bulk,usage,url
Hag Eye,,Bestiary 3 pg. 128,Rare,"Divination, Invested, Occult, Rare, Scrying",Worn Items,Other Worn Items,3,50 gp,,worn,/Equipment.aspx?ID=935
Healer's Toolkit (Expanded),Standard,Player Core pg. 288,Common,,Adventuring Gear,,3,50 gp,1,,/Equipment.aspx?ID=2727
Hoax-Hunter's Kit,Standard,Dark Archives (Remastered) pg. 63,Uncommon,Uncommon,Adventuring Gear,,3,50 gp,1,held in 2 hands,/Equipment.aspx?ID=4115
Mage's Hat,Standard,GM Core pg. 292,Common,"Arcane, Invested",Worn Items,Other Worn Items,3,50 gp,,worn headwear,/Equipment.aspx?ID=3094
Magnet Coin,Standard,Highhelm pg. 87,Uncommon,"Conjuration, Magical, Teleportation, Uncommon",Held Items,,3,50 gp,,held in 1 hand,/Equipment.aspx?ID=2562
Mariner's Astrolabe,Limited,"Gatewalkers (Hardcover) pg. 232, PFS Guide pg. 34",Uncommon,Uncommon,Adventuring Gear,,3,50 gp,L,held in 2 hands,/Equipment.aspx?ID=4027
Menacing,Standard,Treasure Vault pg. 144,Common,Magical,Runes,Accessory Runes,3,50 gp,,applied any visible article of clothing,/Equipment.aspx?ID=2300
Musical Instrument (Virtuoso Handheld),Standard,Player Core pg. 290,Common,,Adventuring Gear,,3,50 gp,1,,/Equipment.aspx?ID=2737
Oathlamp of Accord,Standard,Rival Academies pg. 103,Rare,"Light, Magical, Mental, Rare",Held Items,,3,50 gp,L,held in 1 hand,/Equipment.aspx?ID=3575
Parchment of Direct Message,Standard,Firebrands pg. 86,Uncommon,"Divination, Magical, Uncommon",Held Items,,3,50 gp,,held in 1 hand,/Equipment.aspx?ID=2463
Persona Mask,Standard,GM Core pg. 293,Common,"Fortune, Invested, Magical",Worn Items,Other Worn Items,3,50 gp,,worn mask,/Equipment.aspx?ID=3099
"Portable Weapon Mount (Tripod, Shielded)",Standard,Guns & Gears (Remastered) pg. 182,Uncommon,Uncommon,Customizations,Stabilizers,3,50 gp,5,,/Equipment.aspx?ID=1219
Presentable,Standard,Grand Bazaar pg. 89,Uncommon,"Enchantment, Magical, Uncommon",Runes,Accessory Runes,3,50 gp,,applied to any visible article of clothing,/Equipment.aspx?ID=1389
Protective Netting,Standard,Battlecry! pg. 152,Common,"Fortune, Invested, Magical",Worn Items,Other Worn Items,3,50 gp,L,worn headwear,/Equipment.aspx?ID=3976
Pyrefeather Cloak,Limited,Pathfinder #216: The Acropolis Pyre pg. 81,Uncommon,"Invested, Magical, Uncommon",Worn Items,Other Worn Items,3,50 gp,L,worn cloak,/Equipment.aspx?ID=3992
Sharpened Canines,Standard,Howl of the Wild pg. 98,Common,"Graft, Invested, Magical",Grafts,,3,50 gp,,implanted,/Equipment.aspx?ID=3187
Skinsaw Mask,Standard,"Treasure Vault pg. 155, Pathfinder #158: Sixty Feet Under pg. 76",Uncommon,"Divine, Invested, Uncommon, Unholy",Worn Items,Other Worn Items,3,50 gp,L,worn mask,/Equipment.aspx?ID=2354
Slashing Claws,Standard,Howl of the Wild pg. 98,Common,"Graft, Invested, Magical",Grafts,,3,50 gp,,implanted,/Equipment.aspx?ID=3188
Smuggler's Padlock,,Pathfinder #222: Hellbreakers pg. 210,Uncommon,"Consumable, Extradimensional, Magical, Uncommon",Consumables,Other Consumables,3,50 gp,L,held in 2 hands (see text),/Equipment.aspx?ID=4176
Splatrope Extruder,Standard,Treasure Vault pg. 65,Common,Alchemical,Alchemical Items,Alchemical Other,3,50 gp,L,held in 1 hand,/Equipment.aspx?ID=1985
Survey Map (Atlas),Standard,Player Core pg. 292,Uncommon,Uncommon,Adventuring Gear,,3,50 gp,L,,/Equipment.aspx?ID=2764
Thieves' Toolkit (Infiltrator),Standard,Player Core pg. 292,Common,,Adventuring Gear,,3,50 gp,L,,/Equipment.aspx?ID=2758
Timepiece (Grand Clock),Standard,Guns & Gears (Remastered) pg. 89,Uncommon,"Clockwork, Uncommon",Adventuring Gear,,3,50 gp,16,,/Equipment.aspx?ID=1159
Underwater,Standard,Rage of Elements pg. 178,Common,"Magical, Water",Runes,Weapon Property Runes,3,50 gp,,etched onto a weapon,/Equipment.aspx?ID=2634
Vocal Shells,Standard,Rival Academies pg. 54,Rare,"Clockwork, Rare",Adventuring Gear,,3,50 gp (set of two),,,/Equipment.aspx?ID=3526
Wardrobe Stone (Lesser),Standard,Grand Bazaar pg. 51,Uncommon,"Illusion, Invested, Magical, Uncommon",Held Items,,3,50 gp,L,held in 1 hand,/Equipment.aspx?ID=1323
Warming Parka,Standard,Battlecry! pg. 153,Common,"Invested, Magical",Worn Items,Other Worn Items,3,50 gp,1,worn garmet,/Equipment.aspx?ID=3985
Wind-up Wings (Flutterback),Standard,Guns & Gears (Remastered) pg. 65,Rare,"Clockwork, Rare",Adventuring Gear,,3,50 gp,,attached to a thrown weapon,/Equipment.aspx?ID=1101
Wrenchgear,Standard,Impossible Lands pg. 106,Uncommon,Uncommon,Adventuring Gear,,3,50 gp,L,held in 1 hand,/Equipment.aspx?ID=1791
Blazons of Shared Power,Standard,Guns & Gears (Remastered) pg. 183,Common,"Invested, Magical",Worn Items,Other Worn Items,3,52 gp,,worn and attached to two weapons (see below),/Equipment.aspx?ID=1221
Bracers of Missile Deflection,Standard,GM Core pg. 286,Common,"Invested, Magical",Worn Items,Other Worn Items,3,52 gp,L,worn bracers,/Equipment.aspx?ID=3061
Immaculate Holsters,Standard,Guns & Gears (Remastered) pg. 180,Uncommon,"Invested, Magical, Uncommon",Customizations,Holsters,3,52 gp,L,worn,/Equipment.aspx?ID=1210
Kin-Warding,Limited,Pathfinder #148: Fires of the Haunted City pg. 75,Uncommon,"Abjuration, Dwarf, Magical, Uncommon",Runes,Weapon Property Runes,3,52 gp,,etched onto a clan dagger,/Equipment.aspx?ID=538
Piercing Horn,Standard,Howl of the Wild pg. 98,Common,"Graft, Invested, Magical",Grafts,,3,52 gp,,implanted,/Equipment.aspx?ID=3186
Alchemist's Lab (Expanded),Standard,Player Core pg. 287,Common,,Adventuring Gear,,3,55 gp,6,,/Equipment.aspx?ID=2701
Bullhook,,Pathfinder #152: Legacy of the Lost God pg. 73,Uncommon,"Enchantment, Magical, Uncommon",Held Items,,3,55 gp,1,"held in 1 hand
",/Equipment.aspx?ID=583
Clay Sphere,Limited,Pathfinder #202: Severed at the Root pg. 80,Uncommon,"Magical, Spellheart, Uncommon",Spellhearts,,3,55 gp,,affixed to armor or a weapon,/Equipment.aspx?ID=3728
Clothing (High-Fashion Fine),Standard,Player Core pg. 291,Common,,Adventuring Gear,,3,55 gp,L,,/Equipment.aspx?ID=2715
Confabulator,Standard,Treasure Vault pg. 109,Uncommon,"Illusion, Magical, Uncommon",Assistive Items,,3,55 gp,L,affixed to instrument,/Equipment.aspx?ID=2166
Death Tusk Helm,Limited,Pathfinder #216: The Acropolis Pyre pg. 81,Uncommon,"Invested, Magical, Uncommon",Worn Items,Other Worn Items,3,55 gp,L,worn helm,/Equipment.aspx?ID=3990
Flaming Star,Standard,Secrets of Magic pg. 170,Common,"Evocation, Fire, Magical, Spellheart",Spellhearts,,3,55 gp,,affixed to armor or a weapon,/Equipment.aspx?ID=1014
Foxglove Token,Limited,Pathfinder #202: Severed at the Root pg. 78,Uncommon,"Magical, Poison, Spellheart, Uncommon",Spellhearts,,3,55 gp,L,affixed to armor or a weapon,/Equipment.aspx?ID=3725
Golden Legion Epaulet,Limited,World Guide pg. 124,Uncommon,"Enchantment, Invested, Magical, Uncommon",Worn Items,Other Worn Items,3,55 gp,L,worn epaulet,/Equipment.aspx?ID=499
Grim Sandglass,Standard,Secrets of Magic pg. 171,Common,"Magical, Necromancy, Spellheart",Spellhearts,,3,55 gp,,affixed to armor or a weapon,/Equipment.aspx?ID=1015
Heartmoss,Limited,Pathfinder #202: Severed at the Root pg. 79,Uncommon,"Healing, Magical, Spellheart, Uncommon",Spellhearts,,3,55 gp,L,affixed to armor or a weapon,/Equipment.aspx?ID=3726
Instrument Harness,Standard,Battlecry! pg. 150,Common,"Invested, Magical",Worn Items,Other Worn Items,3,55 gp,L,worn,/Equipment.aspx?ID=3967
Keymaking Tools,Standard,Secrets of Magic pg. 186,Common,"Conjuration, Magical",Held Items,,3,55 gp,L,held in 2 hands,/Equipment.aspx?ID=1065
Lesser Flowing Water,Limited,Pathfinder #207: Resurrection Flood pg. 80,Uncommon,"Invested, Magical, Tattoo, Uncommon",Tattoos,,3,55 gp,,tattooed on the body,/Equipment.aspx?ID=3740
Mirror Robe,Standard,Grand Bazaar pg. 50,Uncommon,"Illusion, Invested, Magical, Uncommon",Worn Items,Other Worn Items,3,55 gp,L,worn clothing,/Equipment.aspx?ID=1319
Motion-Seeking Lenses,Standard,Battlecry! pg. 152,Common,"Invested, Magical",Worn Items,Other Worn Items,3,55 gp,L,worn eyepiece,/Equipment.aspx?ID=3973
Perfect Droplet,Standard,Secrets of Magic pg. 171,Common,"Evocation, Magical, Spellheart, Water",Spellhearts,,3,55 gp,,affixed to armor or a weapon,/Equipment.aspx?ID=1016
Polished Demon Horn,Limited,Gatewalkers (Hardcover) pg. 233,Uncommon,"Divine, Spellheart, Uncommon",Spellhearts,,3,55 gp,L,affixed to armor or a weapon,/Equipment.aspx?ID=4031
Returning,Standard,GM Core pg. 238,Common,Magical,Runes,Weapon Property Runes,3,55 gp,,etched onto a thrown weapon,/Equipment.aspx?ID=2845
Rime Crystal,Standard,Treasure Vault pg. 128,Common,"Cold, Magical, Spellheart",Spellhearts,,3,55 gp,,affixed to armor or a weapon,/Equipment.aspx?ID=2238
Robe of the Erinys,Limited,Pathfinder #222: Hellbreakers pg. 212,Uncommon,"Invested, Magical, Uncommon",Worn Items,Other Worn Items,3,55 gp,L,worn garment,/Equipment.aspx?ID=4183
Shining Symbol,Standard,GM Core pg. 295,Common,"Divine, Invested, Light",Worn Items,Other Worn Items,3,55 gp,,worn,/Equipment.aspx?ID=3109
Snare Kit (Specialist),Standard,Core Rulebook pg. 291,Common,,Adventuring Gear,,3,55 gp,2,,/Equipment.aspx?ID=51
Spry Sinews (Lesser),Standard,Howl of the Wild pg. 98,Common,"Graft, Invested, Magical",Grafts,,3,55 gp,,implanted,/Equipment.aspx?ID=3189
Thurible of Revelation (Lesser),Standard,GM Core pg. 277,Common,Divine,Held Items,,3,55 gp,1,held in 1 hand,/Equipment.aspx?ID=3033
Venom Glands,Standard,Howl of the Wild pg. 99,Common,"Graft, Invested, Magical, Poison",Grafts,,3,55 gp,,implanted,/Equipment.aspx?ID=3194
Wordreaper,Standard,Threshold of Knowledge pg. 10,Uncommon,"Divination, Magical, Uncommon",Weapons,Specific Magic Weapons,3,55 gp,L,held in 1 hand,/Equipment.aspx?ID=1500
Channel Protection Amulet,Standard,GM Core pg. 286,Uncommon,"Invested, Magical, Uncommon",Worn Items,Other Worn Items,3,56 gp,,worn,/Equipment.aspx?ID=3062
Sapling Shield (Minor),Standard,Treasure Vault pg. 22,Common,Magical,Shields,Specific Shields,3,57 gp,2,held in 1 hand,/Equipment.aspx?ID=1860
Bracelet of Dashing,Standard,GM Core pg. 286,Common,"Invested, Magical",Worn Items,Other Worn Items,3,58 gp,L,worn,/Equipment.aspx?ID=3060
Ethereal Crescent,Standard,Battlecry! pg. 135,Common,"Consumable, Magical, Whetstone",Consumables,Whetstones,3,58 gp,L,held in 1 hand,/Equipment.aspx?ID=3880
Aeon Stone (Pearly White Spindle),Standard,PFS Guide pg. 121,Uncommon,"Invested, Magical, Transmutation, Uncommon",Worn Items,Other Worn Items,3,60 gp,,worn,/Equipment.aspx?ID=407
Aerial Cloak,Standard,Rage of Elements pg. 74,Common,"Air, Invested, Magical",Worn Items,Other Worn Items,3,60 gp,,worn cloak,/Equipment.aspx?ID=2575
Battle Medic's Baton,Standard,Treasure Vault pg. 114,Common,Magical,Held Items,,3,60 gp,L,held in 1 hand,/Equipment.aspx?ID=2187
Bristling Spines (Moderate),Standard,Howl of the Wild pg. 97,Common,"Graft, Invested, Magical",Grafts,,3,60 gp,,implanted,/Equipment.aspx?ID=3179
Called (Accessory Rune),Standard,Grand Bazaar pg. 88,Uncommon,"Conjuration, Magical, Uncommon",Runes,Accessory Runes,3,60 gp,,applied to any item of light or negligible Bulk,/Equipment.aspx?ID=1386
Cloak of Gnawing Leaves,Limited,Gatewalkers (Hardcover) pg. 230,Rare,"Invested, Primal, Rare",Worn Items,Other Worn Items,3,60 gp,L,worn cloak,/Equipment.aspx?ID=4023
Cornucopia of Plenty,Standard,Battlecry! pg. 143,Uncommon,"Magical, Uncommon",Held Items,,3,60 gp,L,held in 1 hand,/Equipment.aspx?ID=3932
Coyote Cloak,Standard,GM Core pg. 287,Common,"Invested, Magical",Worn Items,Other Worn Items,3,60 gp,,worn cloak,/Equipment.aspx?ID=3071
Crafter's Eyepiece,Standard,GM Core pg. 288,Common,"Invested, Magical",Worn Items,Other Worn Items,3,60 gp,,worn eyepiece,/Equipment.aspx?ID=3072
Crimson Thorn,,Pathfinder #222: Hellbreakers pg. 213,Uncommon,"Magical, Uncommon",Weapons,Specific Magic Weapons,3,60 gp,1,held in 1 hand,/Equipment.aspx?ID=4188
Cultist Cowl,Limited,Pathfinder #200: Seven Dooms for Sandpoint pg. 181,Uncommon,"Enchantment, Magical, Uncommon",Worn Items,Other Worn Items,3,60 gp,,worn cloak,/Equipment.aspx?ID=3443
Dancing Scarf,Standard,GM Core pg. 288,Common,"Invested, Magical, Visual",Worn Items,Other Worn Items,3,60 gp,,worn belt,/Equipment.aspx?ID=3074
Dawnlight,Standard,Book of the Dead pg. 18,Uncommon,"Divine, Evocation, Uncommon",Held Items,,3,60 gp,L,held in 1 hand,/Equipment.aspx?ID=1534
Familiar Tattoo,Standard,Secrets of Magic pg. 164,Common,"Invested, Magical, Tattoo, Transmutation",Tattoos,,3,60 gp,,tattooed on the body,/Equipment.aspx?ID=998
Gate Attenuator,Standard,Rage of Elements pg. 224,Common,"Invested, Magical",Worn Items,Other Worn Items,3,60 gp,,worn,/Equipment.aspx?ID=2654
Ghoul Stiletto,Standard,Treasure Vault pg. 36,Common,Magical,Weapons,Specific Magic Weapons,3,60 gp,L,held in 1 hand,/Equipment.aspx?ID=1886
Glasses of Sociability,Standard,Secrets of Magic pg. 185,Common,"Divination, Invested, Magical",Worn Items,Other Worn Items,3,60 gp,L,worn eyepiece,/Equipment.aspx?ID=1057
Greater Stalk Goggles,Limited,Gatewalkers (Hardcover) pg. 231,Rare,"Invested, Magical, Morph, Rare",Worn Items,Other Worn Items,3,60 gp,,worn eyepiece,/Equipment.aspx?ID=4024
Gunner's Bandolier,Standard,Guns & Gears (Remastered) pg. 179,Uncommon,"Invested, Magical, Uncommon",Customizations,Holsters,3,60 gp,L,worn,/Equipment.aspx?ID=1209
Hongrui's Gratitude,Limited,Season of Ghosts (Hardcover) pg. 303,Unique,"Invested, Magical, Unique",Held Items,,3,60 gp,L,worn cloak,/Equipment.aspx?ID=4090
Hunter's Bow,Limited,Pathfinder Beginner Box: Game Master's Guide pg. 51,Common,"Evocation, Magical",Weapons,Specific Magic Weapons,3,60 gp,1,,/Equipment.aspx?ID=907
Jolt Coil,Standard,Treasure Vault pg. 126,Common,"Electricity, Magical, Spellheart",Spellhearts,,3,60 gp,,affixed to armor or a weapon,/Equipment.aspx?ID=2231
Lady's Chalice,Limited,Book of the Dead pg. 200,Uncommon,"Conjuration, Divine, Good, Uncommon",Held Items,,3,60 gp,L,held in 1 hand,/Equipment.aspx?ID=1546
Little Love,Standard,Monsters of Myth pg. 94,Rare,"Magical, Rare, Transmutation",Weapons,Specific Magic Weapons,3,60 gp,L,held in 1 hand,/Equipment.aspx?ID=1483
Maestro's Instrument (Lesser),Standard,GM Core pg. 275,Common,Magical,Held Items,,3,60 gp,1,held in 2 hand,/Equipment.aspx?ID=3026
Magic Wand (1st-rank Spell),Standard,GM Core pg. 282,Common,"Magical, Wand",Wands,Magic Wands,3,60 gp,L,held in 1 hand,/Equipment.aspx?ID=3050
Magnetic Bola,,Pathfinder #222: Hellbreakers pg. 213,Uncommon,"Magical, Uncommon",Weapons,Specific Magic Weapons,3,60 gp,1,held in 1 hand,/Equipment.aspx?ID=4192
Marshal's Baton,Standard,Battlecry! pg. 145,Common,Magical,Held Items,,3,60 gp,1,held in 1 hand,/Equipment.aspx?ID=3941
One Hundred Victories,Standard,Treasure Vault pg. 121,Common,"Invested, Magical, Tattoo",Tattoos,,3,60 gp,,tattooed on the body,/Equipment.aspx?ID=2214
Palm Crossbow,Standard,Legends pg. 25,Rare,Rare,Adventuring Gear,,3,60 gp,L,worn,/Equipment.aspx?ID=766
Pendant of the Occult,Standard,GM Core pg. 293,Common,"Invested, Occult",Worn Items,Other Worn Items,3,60 gp,,worn,/Equipment.aspx?ID=3098
Pickled Demon Tongue,Limited,Gatewalkers (Hardcover) pg. 233,Uncommon,"Acid, Divine, Spellheart, Uncommon",Spellhearts,,3,60 gp,L,affixed to armor or a weapon,/Equipment.aspx?ID=4030
Raven Band,Limited,Pathfinder #175: Broken Tusk Moon pg. 77,Uncommon,"Divination, Invested, Primal, Uncommon",Worn Items,Other Worn Items,3,60 gp,,worn armband,/Equipment.aspx?ID=1507
Retribution Axe,Standard,GM Core pg. 242,Common,Magical,Weapons,Specific Magic Weapons,3,60 gp,2,held in 2 hands,/Equipment.aspx?ID=2869
Ring of Torag,Limited,Crown of the Kobold King pg. 116,Rare,"Abjuration, Invested, Magical, Rare",Worn Items,Other Worn Items,3,60 gp,,worn,/Equipment.aspx?ID=1734
Secret-Keeper's Mask (Blackfingers),,GM's Toolkit: Secret Keeper's Mask,Rare,"Divination, Enchantment, Invested, Magical, Rare",Worn Items,Other Worn Items,3,60 gp,,worn,/Equipment.aspx?ID=914
Secret-Keeper's Mask (Reaper of Reputation),,GM's Toolkit: Secret Keeper's Mask,Rare,"Divination, Enchantment, Invested, Magical, Rare",Worn Items,Other Worn Items,3,60 gp,,worn,/Equipment.aspx?ID=914
Siege Shield,Standard,Battlecry! pg. 124,Uncommon,"Magical, Uncommon",Shields,Specific Shields,3,60 gp,4,held in 1 hand,/Equipment.aspx?ID=3830
Smoke Veil,Standard,Rage of Elements pg. 124,Common,"Fire, Invested, Magical",Worn Items,Other Worn Items,3,60 gp,L,worn headwear,/Equipment.aspx?ID=2609
Smoking Sword,Limited,Pathfinder Beginner Box: Game Master's Guide pg. 51,Common,"Evocation, Fire, Magical",Weapons,Specific Magic Weapons,3,60 gp,1,,/Equipment.aspx?ID=908
Snagging,Standard,Grand Bazaar pg. 89,Uncommon,"Abjuration, Magical, Uncommon",Runes,Accessory Runes,3,60 gp,,"applied to belt, cape, cloak, or scarf",/Equipment.aspx?ID=1390
Soft-Landing,Standard,Grand Bazaar pg. 89,Uncommon,"Abjuration, Magical, Uncommon",Runes,Accessory Runes,3,60 gp,,"applied to boots, cape, cloak, or umbrella",/Equipment.aspx?ID=1391
Spider Lily Tattoo,Limited,Season of Ghosts (Hardcover) pg. 305,Rare,"Invested, Magical, Rare, Tattoo",Tattoos,,3,60 gp,,tattooed on the body,/Equipment.aspx?ID=4098
Staff of Air,Standard,Treasure Vault pg. 134,Common,"Magical, Staff",Staves,,3,60 gp,1,held in 1 hand,/Equipment.aspx?ID=2260
Staff of Earth,Standard,Treasure Vault pg. 135,Common,"Magical, Staff",Staves,,3,60 gp,1,held in 1 hand,/Equipment.aspx?ID=2261
Staff of Fire,Standard,GM Core pg. 279,Common,"Magical, Staff",Staves,,3,60 gp,1,held in 1 hand,/Equipment.aspx?ID=3041
Staff of Water,Standard,Treasure Vault pg. 135,Common,"Magical, Staff",Staves,,3,60 gp,1,held in 1 hand,/Equipment.aspx?ID=2262
Storm Hammer,Limited,Pathfinder Beginner Box: Game Master's Guide pg. 51,Common,"Electricity, Evocation, Magical",Weapons,Specific Magic Weapons,3,60 gp,1,,/Equipment.aspx?ID=909
Thrower's Bandolier,Standard,Treasure Vault pg. 146,Common,"Invested, Magical",Worn Items,Other Worn Items,3,60 gp,L,worn,/Equipment.aspx?ID=2313
Tracker's Goggles,Standard,GM Core pg. 296,Common,"Invested, Magical",Worn Items,Other Worn Items,3,60 gp,,worn eyepiece,/Equipment.aspx?ID=3113
Trinity Geode,Standard,Secrets of Magic pg. 171,Common,"Earth, Evocation, Magical, Spellheart",Spellhearts,,3,60 gp,,affixed to armor or a weapon,/Equipment.aspx?ID=1017
Unbreakable Heart,Standard,Treasure Vault pg. 122,Common,"Invested, Magical, Tattoo",Tattoos,,3,60 gp,,tattooed on the body,/Equipment.aspx?ID=2222
Unexceptional,Standard,Highhelm pg. 87,Uncommon,"Illusion, Magical, Uncommon",Runes,Accessory Runes,3,60 gp,,applied to an item of light Bulk or less that is no larger than 5 feet by 5 feet by 5 feet,/Equipment.aspx?ID=2563
Unifying Emblem (Lyrune-Quah),Standard,Treasure Vault pg. 123,Common,"Invested, Magical, Tattoo",Tattoos,,3,60 gp,,tattooed on the body,/Equipment.aspx?ID=2223
Unifying Emblem (Shadde-Quah),Standard,Treasure Vault pg. 123,Common,"Invested, Magical, Tattoo",Tattoos,,3,60 gp,,tattooed on the body,/Equipment.aspx?ID=2223
Unifying Emblem (Shriikirri-Quah),Standard,Treasure Vault pg. 123,Common,"Invested, Magical, Tattoo",Tattoos,,3,60 gp,,tattooed on the body,/Equipment.aspx?ID=2223
Unifying Emblem (Shundar-Quah),Standard,Treasure Vault pg. 123,Common,"Invested, Magical, Tattoo",Tattoos,,3,60 gp,,tattooed on the body,/Equipment.aspx?ID=2223
Unifying Emblem (Sklar-Quah),Standard,Treasure Vault pg. 123,Common,"Invested, Magical, Tattoo",Tattoos,,3,60 gp,,tattooed on the body,/Equipment.aspx?ID=2223
Unifying Emblem (Skoan-Quah),Standard,Treasure Vault pg. 123,Common,"Invested, Magical, Tattoo",Tattoos,,3,60 gp,,tattooed on the body,/Equipment.aspx?ID=2223
Unifying Emblem (Tamiir-Quah),Standard,Treasure Vault pg. 123,Common,"Invested, Magical, Tattoo",Tattoos,,3,60 gp,,tattooed on the body,/Equipment.aspx?ID=2223
Ventriloquist's Ring,Standard,GM Core pg. 296,Common,"Invested, Magical",Worn Items,Other Worn Items,3,60 gp,,worn,/Equipment.aspx?ID=3114
Magnifying Scope,Standard,Guns & Gears (Remastered) pg. 181,Common,Magical,Customizations,Scopes,3,70 gp,L,attached to firearm or crossbow (scope),/Equipment.aspx?ID=1214
Sisterstone Weapon (Low-Grade),,Pathfinder #183: Field of Maidens pg. 80,Rare,Rare,Weapons,Precious Material Weapons,3,70 gp (plus 7 gp per Bulk),,varies by weapon,/Equipment.aspx?ID=1722
Sparkblade,,Troubles in Otari pg. 60,Common,"Evocation, Magical",Weapons,Specific Magic Weapons,3,70 gp,L,,/Equipment.aspx?ID=904
Weapon of False Wounds,Standard,Rival Academies pg. 57,Uncommon,"Illusion, Magical, Uncommon, Visual",Held Items,,3,80 gp,L,held in 1 or more hands,/Equipment.aspx?ID=3536
Blood Sight Elixir (Lesser),Limited,Prey for Death pg. 102,Uncommon,"Alchemical, Consumable, Elixir, Uncommon",Alchemical Items,Alchemical Elixirs,3,100 gp,L,held in one hand,/Equipment.aspx?ID=3490
Diving Suit,Standard,Grand Bazaar pg. 19,Common,,Adventuring Gear,,3,100 gp,1,worn clothing,/Equipment.aspx?ID=1261
Flame Bellows,Restricted,Battlecry! pg. 103,Uncommon,"Alchemical, Mounted, Uncommon",Siege Weapons,,3,100 gp,,mounted,/SiegeWeapons.aspx?ID=52
Musical Instrument (Virtuoso Heavy),Standard,Player Core pg. 290,Common,,Adventuring Gear,,3,100 gp,16,,/Equipment.aspx?ID=2737
Crossbow Catapult,Restricted,Battlecry! pg. 102,Uncommon,"Mounted, Uncommon",Siege Weapons,,3,120 gp,,mounted,/SiegeWeapons.aspx?ID=47
Sambuca,Standard,Guns & Gears (Remastered) pg. 177,Rare,Rare,Adventuring Gear,,3,120 gp,,,/Equipment.aspx?ID=1200
Ring of Observation (Lesser),Standard,Firebrands pg. 87,Uncommon,"Divination, Invested, Magical, Uncommon",Worn Items,Other Worn Items,3,125 gp,,worn,/Equipment.aspx?ID=2465
Trapdoor Actuator,Restricted,Howl of the Wild pg. 117,Uncommon,"Mounted, Uncommon",Siege Weapons,,3,140 gp,,mounted,/SiegeWeapons.aspx?ID=33
"Chariot, Heavy",,GM Core pg. 215,Common,,Vehicles,,3,150 gp,,,/Vehicles.aspx?ID=65
Sand Diver,Restricted,Guns & Gears (Remastered) pg. 94,Uncommon,Uncommon,Vehicles,,3,155 gp,,,/Vehicles.aspx?ID=23
Clockwork Wagon,Restricted,Guns & Gears (Remastered) pg. 94,Uncommon,Uncommon,Vehicles,,3,160 gp,,,/Vehicles.aspx?ID=22
Boastful Hunter,Standard,Guns & Gears (Remastered) pg. 162,Rare,"Intelligent, Primal, Rare",Intelligent Items,,3,,1,held in 1 or 2 hands,/Equipment.aspx?ID=1178
Devil's Luck,,Pathfinder #164: Hands of the Devil pg. 74,Rare,"Contract, Enchantment, Fortune, Invested, Magical, Rare",Contracts,Infernal Contracts,3,,,,/Equipment.aspx?ID=931
Fortune's Favor,,Treasure Vault pg. 204,Unique,"Fortune, Invested, Magical, Relic, Unique",Relics,Relic Seeds,3,,,worn,/Equipment.aspx?ID=2406
Gaffe Glasses,Restricted,Treasure Vault pg. 191,Rare,"Cursed, Invested, Magical, Rare",Cursed Items,,3,,L,worn eyepiece,/Equipment.aspx?ID=2380
Heckling Tools,Restricted,Treasure Vault pg. 192,Rare,"Cursed, Intelligent, Magical, Rare",Cursed Items,,3,, as tools of the normal type,held in 2 hands,/Equipment.aspx?ID=2382
Kotodama Whistle,Standard,Tian Xia Character Guide pg. 129,Uncommon,"Magical, Uncommon",Other,,3,,L,held in 1 hand,/Equipment.aspx?ID=3469
Mnemonic Feather,Standard,Rival Academies pg. 43,Rare,"Magical, Rare",Held Items,,3,,,held in 1 hand,/Equipment.aspx?ID=3523
Phistophilus Fiddle,,Treasure Vault pg. 205,Unique,"Magical, Relic, Unique",Relics,Relic Seeds,3,,1,held in 2 hands,/Equipment.aspx?ID=2408
Sleuth's Pipe,,Treasure Vault pg. 205,Unique,"Magical, Relic, Unique",Relics,Relic Seeds,3,,L,held in 1 hand,/Equipment.aspx?ID=2409
Sluggish Bracelet,Restricted,Treasure Vault pg. 193,Rare,"Cursed, Invested, Magical, Rare",Cursed Items,,3,,,worn,/Equipment.aspx?ID=2388
Watch of Lost Ages,,Treasure Vault pg. 205,Unique,"Magical, Relic, Unique",Relics,Relic Seeds,3,,L,held in 1 hand,/Equipment.aspx?ID=2410
Lesser Elixir of the Peaks,Standard,Pathfinder Adventure Path #219: Lord of the Trinity Star pg. 69,Rare,"Alchemical, Consumable, Elixir, Rare",Alchemical Items,Alchemical Elixirs,4,"1 gp, 5 sp",L,held in 1 hand,/Equipment.aspx?ID=4042
Darkvision Elixir (Moderate),Standard,"Player Core 2 pg. 287, GM Core pg. 246",Common,"Alchemical, Consumable, Elixir",Alchemical Items,Alchemical Elixirs,4,11 gp,L,held in 1 hand,/Equipment.aspx?ID=3305
Yarrow-Root Bandage,Standard,Travel Guide pg. 101,Common,"Alchemical, Consumable",Alchemical Items,Alchemical Plants,4,12 gp,L,held in 1 hand,/Equipment.aspx?ID=1663
Dragon Turtle Scale,Standard,GM Core pg. 264,Common,"Consumable, Magical, Talisman",Consumables,Talismans,4,13 gp,,affixed to armor,/Equipment.aspx?ID=2970
Dreamtime Tea,,Gamemastery Guide pg. 121,Common,"Alchemical, Consumable, Drug, Ingested, Poison",Alchemical Items,Drugs,4,13 gp,L,held in 1 hand,/Equipment.aspx?ID=628
